"Lawn","In_out","Plot","Subplot","Bulk","LS","P","N","G"
"FEN","I",9,9,8.289999999,0.841269841,0.975347529,1.738,1
"FEN","I",9,7,9.309999997,0.614814815,0.706575733,1.753,0.98
"FEN","I",9,3,9.569999996,0.181818182,0.541600993,2.164999999,1
"FEN","O",10,4,29.67999999,0.258327668,1.040487494,0.893,0
"FEN","O",10,9,18.37,0.505830904,0.543427141,0.999,0.05
"FEN","O",10,7,30.74999999,0.981067126,0.66213264,1.024,0.05
"FEN","O",10,3,21.17,0.705505762,0.754959337,1.195,0.3
"FEN","O",10,1,14.96999999,0.107142857,0.667113474,1.246,0.05
"KEM","I",7,9,8.609999996,0.012,1.558373386,1.02,0.9
"KEM","I",7,4,10.14,5.870236872,0.875029617,1.393,0.95
"KEM","I",7,3,17.78,NA,0.328177449,1.633999999,0.2
"KEM","I",7,7,9.359999995,1.573770491,0.792401157,2.169,0.8
"KEM","I",7,1,7.710000003,5.350877194,1.859886245,2.292,0.99
"KEM","O",8,4,12.57000001,0.014371946,0.714146876,0.969,0.05
"KEM","O",8,9,15.68,0.04691358,0.868678596,1.197000001,0.15
"KEM","O",8,7,12.41,0.552172148,0.582032211,1.333999999,0.1
"KEM","O",8,3,11.08,0.029585799,0.8090293,1.494,0.05
"KEM","O",8,1,13.09,0.630057804,0.4319615,1.821,0.15
"KIN","I",5,9,12.17,0.009052049,0.860088755,1.087,0.7
"KIN","I",5,3,17.54,0.086696562,0.524275913,1.132,0.1
"KIN","I",5,7,11.08,0.222222222,0.631315522,1.516999999,0.5
"KIN","I",5,1,8.27,1,1.103024629,1.737,0.9
"KIN","I",5,4,9.810000004,0.073394495,NA,2.680999999,0.9
"KIN","O",6,1,23.95,0.144966443,0.685239235,0.848,0
"KIN","O",6,3,21.8,0.01126408,0.965726954,1.011,0.1
"KIN","O",6,7,20.98,0.19236417,0.877738657,1.028,0
"KIN","O",6,4,22.38,0.073394495,0.375254069,1.400000001,0.05
"KIN","O",6,9,11.82,0.049469965,1.073682553,1.416,0
"LAR","I",3,1,14.59000001,0.058685446,0.396959262,1.247,0.4
"LAR","I",3,3,9.849999998,0.032092426,0.949779829,1.269,0.7
"LAR","I",3,7,10.75,0.073394495,1.201087208,1.418,0.8
"LAR","I",3,4,15.05,0.402464066,0.972448714,1.671000001,0.7
"LAR","I",3,9,8.700000003,1.763636363,1.251052294,2.284999999,0.95
"LAR","O",4,3,17.88,0.033216783,1.008525432,0.665,0
"LAR","O",4,9,17.55,0.013307985,1.715706467,1.226000001,0.02
"LAR","O",4,1,19.2,0.069977427,1.019708674,1.454,0
"LAR","O",4,4,22.97000001,0.961038961,0.670254403,2.141000001,0
"ORP","I",1,4,11.09,0.04777002,0.916895573,1.214,0.9
"ORP","I",1,7,11.02,0.220423455,0.827331617,1.358,0.4
"ORP","I",1,1,15.42,1.268856328,0.585078047,1.400000001,0.7
"ORP","I",1,3,15.97999999,1.199991519,0.582592632,1.785,0.7
"ORP","I",1,9,10.01,0.036291523,1.029733768,2.758999999,0.95
"ORP","O",2,9,17.88,0.001791109,0.64050942,0.976,0.05
"ORP","O",2,1,17.82,NA,0.908177679,1.008,0.01
"ORP","O",2,7,13.69,0.182428184,0.829598787,1.168,0.1
"ORP","O",2,4,16.16,0.026696462,0.608145023,1.371000001,0.01
"ORP","O",2,3,18.5,NA,0.935842578,1.421,0.05
"TAT","I",11,4,15.36,0.925531915,0.52428961,1.321000001,0.9
"TAT","I",11,9,14.76,1.431718062,0.634605093,1.431000001,0.9
"TAT","I",11,3,15.72,0.477459017,0.752188598,1.611,0.95
"TAT","I",11,1,14.87999999,1.433333333,0.866251264,1.695,0.95
"TAT","O",12,4,26.63,0.003188098,1.016118711,0.837,0.2
"TAT","O",12,9,18.72,0.979238755,0.549608061,0.93,0
"TAT","O",12,7,11.75999999,0.003804348,0.910041767,1.335,0.2
"TAT","O",12,1,9.569999996,1.433333333,NA,1.385,0.15
"TAT","O",12,3,15.77,1.474926254,0.805792843,1.966999999,0.25
