Year,Wildebeest
1960,233370
1961,267000
1962,304571
1963,357000
1964,377320
1965,439000
1966,476650
1967,484000
1968,564681
1969,619391
1970,649856
1971,693000
1972,773000
1973,906218
1974,1008682
1975,1120253
1976,1233383
1977,1443000
1978,1251000
1979,1383492
1980,1337000
1981,1244430
1982,1212000
1983,1240554
1984,1337000
1985,1293415
1986,1148000
1987,1196223
1988,1200185
1989,1235265
1990,1287417
1991,1225000
1992,1321894
1993,1344400
1994,919000
1995,1034498
1996,1100882
1997,1214295
1998,924000
1999,1298000
2000,1249000
2001,1012920
2002,1098561
2003,989540
